Departamento,Indicador,Año,Dato Numérico
Amazonas,Cobertura en educación superior,2021.0,8.15
Amazonas,Cobertura en educación superior,2022.0,8.15
Amazonas,Cobertura neta en educación - Total,2005.0,73.61
Amazonas,Cobertura neta en educación - Total,2006.0,76.59
Amazonas,Cobertura neta en educación - Total,2007.0,77.04
Amazonas,Cobertura neta en educación - Total,2008.0,79.54
Amazonas,Cobertura neta en educación - Total,2009.0,80.11
Amazonas,Cobertura neta en educación - Total,2010.0,82.09
Amazonas,Cobertura neta en educación - Total,2011.0,88.66
Amazonas,Cobertura neta en educación - Total,2012.0,89.27
Amazonas,Cobertura neta en educación - Total,2013.0,89.03
Amazonas,Cobertura neta en educación - Total,2014.0,88.69
Amazonas,Cobertura neta en educación - Total,2015.0,88.31
Amazonas,Cobertura neta en educación - Total,2016.0,89.09
Amazonas,Cobertura neta en educación - Total,2017.0,90.62
Amazonas,Cobertura neta en educación - Total,2018.0,79.32
Amazonas,Cobertura neta en educación - Total,2019.0,78.91
Amazonas,Cobertura neta en educación - Total,2020.0,77.76
Amazonas,Cobertura neta en educación - Total,2021.0,78.53
Amazonas,Cobertura neta en educación - Total,2022.0,74.78
Amazonas,Cobertura neta en educación básica,2005.0,76.3
Amazonas,Cobertura neta en educación básica,2006.0,78.57
Amazonas,Cobertura neta en educación básica,2007.0,79.17
Amazonas,Cobertura neta en educación básica,2008.0,81.42
Amazonas,Cobertura neta en educación básica,2009.0,82.67
Amazonas,Cobertura neta en educación básica,2010.0,85.57
Amazonas,Cobertura neta en educación básica,2011.0,92.32
Amazonas,Cobertura neta en educación básica,2012.0,92.73
Amazonas,Cobertura neta en educación básica,2013.0,92.1
Amazonas,Cobertura neta en educación básica,2014.0,91.97
Amazonas,Cobertura neta en educación básica,2015.0,90.36
Amazonas,Cobertura neta en educación básica,2016.0,90.55
Amazonas,Cobertura neta en educación básica,2017.0,92.0
Amazonas,Cobertura neta en educación básica,2018.0,79.84
Amazonas,Cobertura neta en educación básica,2019.0,79.98
Amazonas,Cobertura neta en educación básica,2020.0,78.52
Amazonas,Cobertura neta en educación básica,2021.0,78.99
Amazonas,Cobertura neta en educación básica,2022.0,76.19
Amazonas,Cobertura neta en educación básica  - Hombres,2014.0,86.21
Amazonas,Cobertura neta en educación básica  - Hombres,2015.0,84.72
Amazonas,Cobertura neta en educación básica  - Hombres,2016.0,83.92
Amazonas,Cobertura neta en educación básica  - Hombres,2018.0,80.85
Amazonas,Cobertura neta en educación básica  - Hombres,2019.0,82.18
Amazonas,Cobertura neta en educación básica  - Hombres,2020.0,81.47
Amazonas,Cobertura neta en educación básica  - Hombres,2021.0,82.69
Amazonas,Cobertura neta en educación básica  - Hombres,2022.0,78.97
Amazonas,Cobertura neta en educación básica  - Mujeres,2014.0,84.11
Amazonas,Cobertura neta en educación básica  - Mujeres,2015.0,81.9
Amazonas,Cobertura neta en educación básica  - Mujeres,2016.0,81.54
Amazonas,Cobertura neta en educación básica  - Mujeres,2018.0,83.95
Amazonas,Cobertura neta en educación básica  - Mujeres,2019.0,82.91
Amazonas,Cobertura neta en educación básica  - Mujeres,2020.0,82.07
Amazonas,Cobertura neta en educación básica  - Mujeres,2021.0,82.61
Amazonas,Cobertura neta en educación básica  - Mujeres,2022.0,78.63
Amazonas,Cobertura neta en educación media,2005.0,16.79
Amazonas,Cobertura neta en educación media,2006.0,19.37
Amazonas,Cobertura neta en educación media,2007.0,21.83
Amazonas,Cobertura neta en educación media,2008.0,23.41
Amazonas,Cobertura neta en educación media,2009.0,21.66
Amazonas,Cobertura neta en educación media,2010.0,20.41
Amazonas,Cobertura neta en educación media,2011.0,23.54
Amazonas,Cobertura neta en educación media,2012.0,24.37
Amazonas,Cobertura neta en educación media,2013.0,25.08
Amazonas,Cobertura neta en educación media,2014.0,25.35
Amazonas,Cobertura neta en educación media,2015.0,28.3
Amazonas,Cobertura neta en educación media,2016.0,28.62
Amazonas,Cobertura neta en educación media,2017.0,34.02
Amazonas,Cobertura neta en educación media,2018.0,31.65
Amazonas,Cobertura neta en educación media,2019.0,29.65
Amazonas,Cobertura neta en educación media,2020.0,29.33
Amazonas,Cobertura neta en educación media,2021.0,27.05
Amazonas,Cobertura neta en educación media,2022.0,24.86
Amazonas,Cobertura neta en educación media,2023.0,27.57
Amazonas,Cobertura neta en educación primaria,2005.0,73.23
Amazonas,Cobertura neta en educación primaria,2006.0,75.07
Amazonas,Cobertura neta en educación primaria,2007.0,79.52
Amazonas,Cobertura neta en educación primaria,2008.0,82.57
Amazonas,Cobertura neta en educación primaria,2009.0,87.56
Amazonas,Cobertura neta en educación primaria,2010.0,87.13
Amazonas,Cobertura neta en educación primaria,2011.0,93.46
Amazonas,Cobertura neta en educación primaria,2012.0,93.62
Amazonas,Cobertura neta en educación primaria,2013.0,89.99
Amazonas,Cobertura neta en educación primaria,2014.0,90.62
Amazonas,Cobertura neta en educación primaria,2015.0,88.62
Amazonas,Cobertura neta en educación primaria,2016.0,87.33
Amazonas,Cobertura neta en educación primaria,2017.0,87.63
Amazonas,Cobertura neta en educación primaria,2018.0,76.66
Amazonas,Cobertura neta en educación primaria,2019.0,76.92
Amazonas,Cobertura neta en educación primaria,2020.0,76.75
Amazonas,Cobertura neta en educación primaria,2021.0,77.99
Amazonas,Cobertura neta en educación primaria,2022.0,76.06
Amazonas,Cobertura neta en educación primaria,2023.0,73.54
Amazonas,Cobertura neta en educación secundaria,2005.0,41.1
Amazonas,Cobertura neta en educación secundaria,2006.0,41.43
Amazonas,Cobertura neta en educación secundaria,2007.0,42.89
Amazonas,Cobertura neta en educación secundaria,2008.0,44.44
Amazonas,Cobertura neta en educación secundaria,2009.0,46.07
Amazonas,Cobertura neta en educación secundaria,2010.0,50.16
Amazonas,Cobertura neta en educación secundaria,2011.0,55.3
Amazonas,Cobertura neta en educación secundaria,2012.0,58.91
Amazonas,Cobertura neta en educación secundaria,2013.0,64.68
Amazonas,Cobertura neta en educación secundaria,2014.0,64.32
Amazonas,Cobertura neta en educación secundaria,2015.0,66.43
Amazonas,Cobertura neta en educación secundaria,2016.0,66.99
Amazonas,Cobertura neta en educación secundaria,2017.0,67.82
Amazonas,Cobertura neta en educación secundaria,2018.0,59.71
Amazonas,Cobertura neta en educación secundaria,2019.0,59.23
Amazonas,Cobertura neta en educación secundaria,2020.0,58.88
Amazonas,Cobertura neta en educación secundaria,2021.0,57.49
Amazonas,Cobertura neta en educación secundaria,2022.0,54.2
Amazonas,Cobertura neta en educación secundaria,2023.0,53.91
Amazonas,Cobertura neta en educación total - Hombres,2014.0,83.97
Amazonas,Cobertura neta en educación total - Hombres,2015.0,83.48
Amazonas,Cobertura neta en educación total - Hombres,2016.0,82.93
Amazonas,Cobertura neta en educación total - Hombres,2018.0,79.88
Amazonas,Cobertura neta en educación total - Hombres,2019.0,80.73
Amazonas,Cobertura neta en educación total - Hombres,2020.0,80.84
Amazonas,Cobertura neta en educación total - Hombres,2021.0,82.35
Amazonas,Cobertura neta en educación total - Hombres,2022.0,77.49
Amazonas,Cobertura neta en educación total - Mujeres,2014.0,80.22
Amazonas,Cobertura neta en educación total - Mujeres,2015.0,79.41
Amazonas,Cobertura neta en educación total - Mujeres,2016.0,79.74
Amazonas,Cobertura neta en educación total - Mujeres,2018.0,83.16
Amazonas,Cobertura neta en educación total - Mujeres,2019.0,82.1
Amazonas,Cobertura neta en educación total - Mujeres,2020.0,81.66
Amazonas,Cobertura neta en educación total - Mujeres,2021.0,81.56
Amazonas,Cobertura neta en educación total - Mujeres,2022.0,76.98
Amazonas,Cobertura neta en transición,2005.0,54.82
Amazonas,Cobertura neta en transición,2006.0,50.36
Amazonas,Cobertura neta en transición,2007.0,56.41
Amazonas,Cobertura neta en transición,2008.0,60.47
Amazonas,Cobertura neta en transición,2009.0,60.16
Amazonas,Cobertura neta en transición,2010.0,73.34
Amazonas,Cobertura neta en transición,2011.0,70.91
Amazonas,Cobertura neta en transición,2012.0,62.72
Amazonas,Cobertura neta en transición,2013.0,52.78
Amazonas,Cobertura neta en transición,2014.0,46.83
Amazonas,Cobertura neta en transición,2015.0,49.1
Amazonas,Cobertura neta en transición,2016.0,55.28
Amazonas,Cobertura neta en transición,2017.0,60.06
Amazonas,Cobertura neta en transición,2018.0,44.54
Amazonas,Cobertura neta en transición,2019.0,50.99
Amazonas,Cobertura neta en transición,2020.0,46.66
Amazonas,Cobertura neta en transición,2021.0,50.51
Amazonas,Cobertura neta en transición,2022.0,55.46
Amazonas,"Número de niños, niñas y mujeres gestantes con educación inicial en el marco de la atención integral a la primera infancia",2018.0,2732.33
Amazonas,"Número de niños, niñas y mujeres gestantes con educación inicial en el marco de la atención integral a la primera infancia",2019.0,3168.67
Amazonas,"Número de niños, niñas y mujeres gestantes con educación inicial en el marco de la atención integral a la primera infancia",2020.0,3110.33
Amazonas,"Número de niños, niñas y mujeres gestantes con educación inicial en el marco de la atención integral a la primera infancia",2021.0,3241.0
Amazonas,"Número de niños, niñas y mujeres gestantes con educación inicial en el marco de la atención integral a la primera infancia",2022.0,3093.0
Amazonas,Porcentaje de asistencia de 5 a 24 años (Censo),2018.0,67.76
Amazonas,Porcentaje de asistencia de 5 a 24 años Rural (Censo),2018.0,66.75
Amazonas,Porcentaje de asistencia de 5 a 24 años Urbana (Censo),2018.0,69.26
Amazonas,Porcentaje de niños y niñas cuyas familias participan en procesos de formación en servicios de educacion incial en el marco de la atención integral,2015.0,13.39
Amazonas,Porcentaje de niños y niñas cuyas familias participan en procesos de formación en servicios de educacion incial en el marco de la atención integral,2016.0,81.3
Amazonas,Porcentaje de niños y niñas cuyas familias participan en procesos de formación en servicios de educacion incial en el marco de la atención integral,2017.0,82.71
Amazonas,Porcentaje de niños y niñas cuyas familias participan en procesos de formación en servicios de educacion incial en el marco de la atención integral,2018.0,99.76
Amazonas,Porcentaje de niños y niñas cuyas familias participan en procesos de formación en servicios de educacion incial en el marco de la atención integral,2019.0,99.05
Amazonas,Porcentaje de niños y niñas cuyas familias participan en procesos de formación en servicios de educacion incial en el marco de la atención integral,2020.0,99.98
Amazonas,Porcentaje de niños y niñas cuyas familias participan en procesos de formación en servicios de educacion incial en el marco de la atención integral,2021.0,92.16
Amazonas,Porcentaje de niños y niñas cuyas familias participan en procesos de formación en servicios de educacion incial en el marco de la atención integral,2022.0,91.89
Amazonas,Porcentaje de niños y niñas de preescolar que reciben requerimiento nutricional a través del PAE,2019.0,9.09
Amazonas,Porcentaje de niños y niñas de preescolar que reciben requerimiento nutricional a través del PAE,2020.0,3.91
Amazonas,Porcentaje de niños y niñas de preescolar que reciben requerimiento nutricional a través del PAE,2021.0,0.07
Amazonas,Porcentaje de niños y niñas de preescolar que reciben requerimiento nutricional a través del PAE,2022.0,81.12
Amazonas,Porcentaje de niños y niñas en primera infancia atendidos en educación inicial en el marco de la atención integral con esquema de vacunación completo para la edad,2015.0,44.07
Amazonas,Porcentaje de niños y niñas en primera infancia atendidos en educación inicial en el marco de la atención integral con esquema de vacunación completo para la edad,2016.0,48.51
Amazonas,Porcentaje de niños y niñas en primera infancia atendidos en educación inicial en el marco de la atención integral con esquema de vacunación completo para la edad,2017.0,22.41
Amazonas,Porcentaje de niños y niñas en primera infancia atendidos en educación inicial en el marco de la atención integral con esquema de vacunación completo para la edad,2018.0,40.65
Amazonas,Porcentaje de niños y niñas en primera infancia atendidos en educación inicial en el marco de la atención integral con esquema de vacunación completo para la edad,2019.0,62.65
Amazonas,Porcentaje de niños y niñas en primera infancia atendidos en educación inicial en el marco de la atención integral con esquema de vacunación completo para la edad,2020.0,71.04
Amazonas,Porcentaje de niños y niñas en primera infancia atendidos en educación inicial en el marco de la atención integral con esquema de vacunación completo para la edad,2021.0,76.77
Amazonas,Porcentaje de niños y niñas en primera infancia atendidos en educación inicial en el marco de la atención integral con esquema de vacunación completo para la edad,2022.0,69.18
Amazonas,Porcentaje de niños y niñas en servicios de educación inicial en el marco de la atención integral que cuentan con seis o más atenciones,2018.0,49.65
Amazonas,Porcentaje de niños y niñas en servicios de educación inicial en el marco de la atención integral que cuentan con seis o más atenciones,2019.0,48.56
Amazonas,Porcentaje de niños y niñas en servicios de educación inicial en el marco de la atención integral que cuentan con seis o más atenciones,2020.0,37.65
Amazonas,Porcentaje de niños y niñas en servicios de educación inicial en el marco de la atención integral que cuentan con seis o más atenciones,2021.0,46.71
Amazonas,Porcentaje de niños y niñas en servicios de educación inicial en el marco de la atención integral que cuentan con seis o más atenciones,2022.0,78.05
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2010.0,46.62
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2011.0,39.14
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2012.0,43.18
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2013.0,43.63
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2014.0,42.98
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2015.0,43.79
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2016.0,44.01
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2017.0,46.9
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2018.0,45.23
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2019.0,44.26
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2020.0,45.1
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2021.0,44.57
Amazonas,Puntaje promedio Pruebas Saber 11 - Lectura crítica,2022.0,44.53
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2010.0,44.23
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2011.0,40.06
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2012.0,40.42
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2013.0,40.78
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2014.0,43.66
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2015.0,40.81
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2016.0,39.6
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2017.0,41.01
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2018.0,39.86
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2019.0,40.81
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2020.0,42.42
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2021.0,39.98
Amazonas,Puntaje promedio Pruebas Saber 11 - Matemáticas,2022.0,40.38
Amazonas,Tasa de Analfabetismo (Censo),2018.0,6.88
Amazonas,Tasa de Analfabetismo Rural (Censo),2018.0,9.18
Amazonas,Tasa de Analfabetismo Urbana (Censo),2018.0,4.26
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2003.0,9.43
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2004.0,7.16
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2005.0,7.93
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2006.0,8.6
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2007.0,11.8
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2008.0,7.21
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2009.0,11.18
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2010.0,6.95
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2011.0,4.87
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2012.0,4.27
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2013.0,2.98
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2014.0,2.59
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2015.0,5.22
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2016.0,5.25
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2017.0,4.72
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2018.0,5.34
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2019.0,4.91
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2020.0,2.0
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2021.0,4.6
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2022.0,6.9
Amazonas,Tasa de deserción intra-anual del sector oficial en educación básica y media (Desde transición hasta once),2023.0,6.49
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2003.0,6.43
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2004.0,8.47
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2005.0,9.93
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2006.0,13.85
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2007.0,11.15
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2008.0,5.01
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2009.0,0.89
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2010.0,0.92
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2011.0,2.27
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2012.0,3.8
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2013.0,3.84
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2014.0,7.03
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2015.0,6.22
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2016.0,7.3
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2017.0,6.92
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2018.0,3.96
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2019.0,7.77
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2020.0,11.74
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2021.0,15.63
Amazonas,Tasa de repitencia del sector oficial en educación básica y media (Desde transición hasta once),2022.0,9.57
Amazonas,Tasa de tránsito inmediato a la educación superior,2014.0,10.94
Amazonas,Tasa de tránsito inmediato a la educación superior,2015.0,11.88
Amazonas,Tasa de tránsito inmediato a la educación superior,2016.0,8.98
Amazonas,Tasa de tránsito inmediato a la educación superior,2017.0,13.01
Amazonas,Tasa de tránsito inmediato a la educación superior,2018.0,10.94
Amazonas,Tasa de tránsito inmediato a la educación superior,2019.0,13.66
Amazonas,Tasa de tránsito inmediato a la educación superior,2020.0,13.24
Amazonas,Tasa de tránsito inmediato a la educación superior,2021.0,12.84
Amazonas,Tasa de tránsito inmediato a la educación superior,2022.0,14.84
Amazonas,Tasa de tránsito inmediato a la educación superior,2023.0,17.77
Antioquia,Años de educación personas de 15 y más años,2014.0,8.77
Antioquia,Años de educación personas de 15 y más años,2015.0,8.76
Antioquia,Años de educación personas de 15 y más años,2016.0,8.84
Antioquia,Años de educación personas de 15 y más años,2017.0,9.02
Antioquia,Años de educación personas de 15 y más años,2018.0,9.0
Antioquia,Años de educación personas de 15 y más años,2019.0,9.2
Antioquia,Cobertura bruta en educación - Total,2005.0,90.9
Antioquia,Cobertura bruta en educación - Total,2006.0,98.79
Antioquia,Cobertura bruta en educación - Total,2007.0,101.25
Antioquia,Cobertura bruta en educación - Total,2008.0,102.06
Antioquia,Cobertura bruta en educación - Total,2009.0,102.94
Antioquia,Cobertura bruta en educación - Total,2010.0,103.36
Antioquia,Cobertura bruta en educación - Total,2011.0,104.38
Antioquia,Cobertura bruta en educación - Total,2012.0,104.71
Antioquia,Cobertura bruta en educación - Total,2013.0,107.81
Antioquia,Cobertura bruta en educación - Total,2014.0,102.98
